Symbol,Name
IUKP,iShares UK Property
CUKS,iShares MSCI UK Small Cap
PW,Blackrock Global Property Securities Equity Tracker D Accumulating
EDW,Vanguard FTSE Dev Wld ex UK Idx Acc
EUA,Vanguard FTSE UK All Share Index UT Acc
CUKX,iShares FTSE 100 Acc
VFEM,FTSE Emerging Markets UCITS ETF
VGOV,Vanguard UK Government Bond ETF
SGLO,iShares Global Government Bond
VUKGS,Vanguard UK Inv Grade Bd Idx GBP Acc
SGLN,iShares Physical Gold ETF
CRBL,Lyxor Commodity Thm R/C CRB TR ETF C-USD
WPCT,Woodford Patient Capital Trust
